Date,Open,High,Low,Close,Volume,Change
2013-09-27,21958,21967,21853,21953,5700726,0.001185752724951028
2013-09-30,21786,21879,21676,21767,6040121,-0.008472646107593462
2013-10-01,21726,21946,21722,21798,4915346,0.0014241742086644749
2013-10-02,21934,21949,21790,21799,6002003,4.5875768419190166e-05
2013-10-04,21786,21853,21643,21767,8818579,-0.0014679572457452217
2013-10-07,21786,21858,21715,21767,6657855,0.0
2013-10-08,21734,21887,21615,21905,6937809,0.0063398722837322286
2013-10-10,21876,21963,21791,21839,16159234,-0.0030130107281443053
2013-10-11,22025,22240,21953,22213,9521566,0.01712532625120189
2013-10-14,22224,22253,22152,22187,10887147,-0.0011704857515869582
2013-10-15,22279,22470,22279,22365,8348807,0.008022716004867814
2013-10-16,22391,22534,22370,22381,9304333,0.0007154035323049257
2013-10-17,22525,22580,22432,22498,6638401,0.005227648451811895
2013-10-18,22565,22598,22507,22588,17704778,0.0040003555871632734
2013-10-21,22619,22668,22576,22611,6786219,0.0010182397733309312
2013-10-22,22598,22615,22516,22611,9082060,0.0
2013-10-23,22637,22683,22348,22360,8789903,-0.01110079165008182
2013-10-24,22348,22418,22261,22433,7991621,0.0032647584973166666
2013-10-25,22423,22423,22148,22266,6253218,-0.007444389961217879
2013-10-28,22306,22450,22278,22459,9908652,0.008667924189347032
2013-10-29,22404,22572,22341,22545,11451296,0.0038291998753283707
2013-10-30,22603,22619,22432,22628,5855521,0.0036815258372144832
2013-10-31,22507,22539,22279,22288,5744351,-0.015025631960403074
2013-11-01,22279,22367,22279,22348,7240885,0.0026920315865039957
2013-11-04,22282,22291,22132,22177,8648343,-0.007651691426525886
2013-11-05,22152,22197,21987,22053,7685303,-0.005591378455156226
2013-11-06,22000,22136,21996,22069,6179398,0.0007255248718995855
2013-11-07,22029,22045,21849,21905,8888917,-0.007431238388689976
2013-11-08,21749,21835,21706,21743,8031208,-0.007395571787263133
2013-11-11,21812,21817,21659,21732,7150847,-0.0005059099480292373
2013-11-12,21749,21939,21726,21882,5185010,0.006902263942573095
2013-11-13,21845,21845,21463,21474,9611632,-0.018645462023580972
2013-11-14,21629,21689,21487,21585,11491959,0.005169041631740701
2013-11-15,21694,22029,21652,22019,6389389,0.020106555478341503
2013-11-18,22106,22136,22016,22066,7700142,0.002134520187111022
2013-11-19,22029,22399,22004,22317,6550823,0.011374966011057808
2013-11-20,22279,22304,22101,22157,8418656,-0.00716942241340679
2013-11-21,22094,22128,21722,21817,10197163,-0.015345037685607243
2013-11-22,21894,22068,21821,21972,13201816,0.007104551496539324
2013-11-25,22054,22322,22054,22140,6961659,0.007646095030038325
2013-11-26,22000,22231,21858,22222,7558081,0.0037037037037037646
2013-11-27,22136,22295,22000,22306,11339546,0.0037800378003780555
2013-11-28,22395,22544,22395,22485,9522974,0.00802474670492237
2013-11-29,22411,22568,22411,22491,9290887,0.00026684456304204573
2013-12-02,22525,22576,22286,22317,5536167,-0.007736427904495136
2013-12-03,22190,22244,22033,22061,7654894,-0.011471075861450908
2013-12-04,21943,21992,21791,21804,11387994,-0.011649517247631525
2013-12-05,21820,21862,21559,21763,18608836,-0.001880388919464293
2013-12-06,21754,21820,21694,21763,13859372,0.0
2013-12-09,21970,22020,21907,21976,7060127,0.009787253595552103
2013-12-10,21958,21963,21853,21921,4879240,-0.002502730251183083
2013-12-11,21820,21992,21620,21682,11970376,-0.0109027872816021
2013-12-12,21580,21664,21458,21678,24937250,-0.00018448482612309913
2013-12-13,21652,21652,21333,21503,23352970,-0.008072700433619295
2013-12-16,21468,21587,21385,21513,14042959,0.0004650513881783169
2013-12-17,21676,21744,21555,21606,7364391,0.004322967508018305
2013-12-18,21610,21791,21587,21732,5934174,0.005831713412940864
2013-12-19,21943,22021,21610,21705,7595411,-0.0012424075096632015
2013-12-20,21676,21835,21659,21763,5691500,0.0026721953466943837
2013-12-23,21868,22011,21754,21983,10483281,0.010108900427330703
2013-12-24,22011,22089,21943,22037,10576764,0.002456443615520998
2013-12-26,22063,22111,21967,22004,13404857,-0.001497481508372256
2013-12-27,22000,22197,21958,22173,5821375,0.007680421741501631
2013-12-30,22231,22244,22149,22259,6048271,0.00387859107924049
2014-01-02,22295,22312,21615,21632,15102837,-0.02816838132890065
2014-01-03,21608,21625,21276,21423,18967562,-0.00966161242603547
2014-01-06,21415,21596,21356,21480,21660624,0.002660691779862834
2014-01-07,21391,21615,21364,21548,6115071,0.0031657355679701737
2014-01-08,21587,21629,21391,21548,7769920,0.0
2014-01-09,21520,21559,21415,21433,8972204,-0.00533692222015969
2014-01-10,21324,21491,21156,21259,12936283,-0.008118322213409246
2014-01-13,21307,21436,21284,21397,14337968,0.006491368361634997
2014-01-14,21324,21555,21236,21368,8126497,-0.0013553301864747125
2014-01-15,21458,21495,21341,21428,4969528,0.002807937102208946
2014-01-16,21472,21572,21450,21530,3667681,0.004760126936718345
2014-01-17,21487,21529,21292,21330,4763838,-0.009289363678588014
2014-01-20,21300,21482,21186,21458,11769584,0.006000937646507332
2014-01-21,21482,21615,21410,21632,4513584,0.008108863827010815
2014-01-22,21559,21605,21524,21597,6387134,-0.001617973372781023
2014-01-23,21601,21620,21364,21377,6309128,-0.010186599990739453
2014-01-24,21276,21328,21124,21279,17083234,-0.004584366375075977
2014-01-27,21010,21086,20855,21025,29698533,-0.011936651158419131
2014-01-28,20939,21090,20924,21079,11039970,0.0025683709869204208
2014-01-29,21152,21337,21140,21315,5245415,0.011195977038758853
2014-02-03,21178,21205,20977,21037,9017354,-0.013042458362655385
2014-02-04,20800,20800,20592,20637,18956680,-0.019014117982602108
2014-02-05,20742,20782,20626,20730,22841940,0.004506468963512145
2014-02-06,20786,20958,20773,20892,3026196,0.007814761215629629
2014-02-07,21021,21077,20928,21071,3437519,0.00856787286999805
2014-02-10,21107,21128,20986,21079,4853186,0.00037966873902517406
2014-02-11,21033,21214,20995,21161,4141330,0.0038901276151619424
2014-02-12,21254,21324,21174,21213,8340591,0.0024573507868248523
2014-02-13,21196,21307,21026,21057,8312824,-0.007353981049356473
2014-02-14,21111,21376,21098,21311,8009234,0.012062497031865904
2014-02-17,21415,21477,21300,21347,8760633,0.0016892684529117297
2014-02-18,21333,21388,21165,21338,7662767,-0.00042160490935494455
2014-02-19,21276,21279,21111,21235,6974811,-0.004827069078639057
2014-02-20,21148,21254,21045,21113,10235163,-0.005745231928420025
2014-02-21,21249,21431,21148,21442,8418469,0.015582816274333444
2014-02-24,21420,21472,21307,21368,12485049,-0.003451170599757525
2014-02-25,21487,21580,21431,21548,7153935,0.008423811306626838
2014-02-26,21510,21638,21463,21637,9466763,0.004130313718210488
2014-02-27,21605,21671,21534,21669,7802111,0.0014789480981651781
2014-02-28,21657,21749,21605,21695,9872296,0.0011998707831464284
2014-03-03,21506,21567,21381,21518,8352909,-0.008158561880617698
2014-03-04,21450,21501,21410,21451,7067455,-0.003113672274374979
2014-03-05,21652,21715,21625,21647,7190916,0.009137103165353544
2014-03-06,21629,21659,21605,21669,7777011,0.0010163071095301568
2014-03-07,21711,21744,21520,21623,4721766,-0.002122848308643732
2014-03-10,21506,21506,21333,21352,6606455,-0.01253295102437224
2014-03-11,21388,21436,21337,21447,10797591,0.004449231922068142
2014-03-12,21360,21364,21094,21121,15206547,-0.015200261108779811
2014-03-13,21213,21227,21076,21172,22514384,0.002414658396856284
2014-03-14,20963,20998,20860,20962,11191710,-0.009918760627243506
2014-03-17,20947,21033,20901,21041,12747152,0.0037687243583628405
2014-03-18,21190,21253,21049,21180,6130841,0.006606149897818492
2014-03-19,21275,21287,21123,21180,6145236,0.0
2014-03-20,21077,21116,20901,20925,7012221,-0.012039660056657242
2014-03-21,20998,21077,20967,21092,17366464,0.007980884109916264
2014-03-24,21111,21271,21094,21203,6012840,0.005262658827991595
2014-03-25,21161,21236,21111,21177,7974165,-0.0012262415695891704
2014-03-26,21295,21477,21295,21474,8613535,0.014024649383765464
2014-03-27,21438,21605,21436,21597,15100335,0.005727856943280152
2014-03-28,21555,21684,21534,21597,10432036,0.0
2014-03-31,21637,21696,21546,21698,14165064,0.004676575450293985
2014-04-01,21620,21773,21544,21715,11455815,0.0007834823486034814
2014-04-02,21786,21807,21734,21779,14703148,0.0029472714713332238
2014-04-03,21773,21925,21754,21763,12839604,-0.0007346526470453085
2014-04-04,21764,21890,21749,21842,15052745,0.003630014244359714
2014-04-07,21754,21835,21684,21793,7389122,-0.002243384305466556
2014-04-08,21719,21930,21689,21910,6966491,0.005368696370394055
2014-04-09,21958,21996,21903,21940,9681420,0.001369237790963096
2014-04-10,22025,22058,21922,22000,8469808,0.0027347310847767314
2014-04-11,21820,21849,21734,21826,5585663,-0.007909090909090866
2014-04-14,21791,21917,21754,21895,4764936,0.0031613671767616314
2014-04-15,21935,21971,21749,21767,5592558,-0.005846083580726247
2014-04-16,21781,21871,21679,21861,6201063,0.004318463729498845
2014-04-17,21925,21930,21758,21826,5259099,-0.0016010246557797148
2014-04-18,21894,22004,21890,21990,9490602,0.007513974159259584
2014-04-21,21975,21978,21863,21958,6632839,-0.001455206912232887
2014-04-22,21943,21983,21807,21953,5420996,-0.00022770744147915245
2014-04-23,21992,22041,21883,21927,5180225,-0.001184348380631306
2014-04-24,21953,21992,21862,21910,11618076,-0.0007752998586217918
2014-04-25,21862,21883,21567,21593,6933138,-0.014468279324509337
2014-04-28,21529,21652,21520,21597,4740602,0.00018524521835772134
2014-04-29,21597,21639,21481,21507,13001019,-0.004167245450757084
2014-04-30,21597,21597,21383,21493,11096958,-0.0006509508532105412
2014-05-02,21481,21506,21374,21417,7896894,-0.0035360349881357056
2014-05-07,21414,21462,21170,21209,9780904,-0.009711911098659987
2014-05-08,21215,21293,21116,21308,17603867,0.004667829694940728
2014-05-09,21314,21399,21269,21336,8639761,0.0013140604467805073
2014-05-12,21335,21471,21256,21469,3669680,0.006233595800524849
2014-05-13,21539,21820,21506,21765,7519523,0.01378732125390103
2014-05-14,21741,22041,21741,22040,16957048,0.012634964392373105
2014-05-15,22025,22146,22003,22044,14060104,0.00018148820326668869
2014-05-16,21938,22033,21916,22033,14310291,-0.0004990019960079417
